,logFC,logCPM,PValue,FDR
YLR119W,0.642189325,4.574100477,0.009416946,0.020538175
YOR176W,0.2687775,6.977183743,0.009422028,0.020541687
YKR026C,-0.340558978,6.507307398,0.009444265,0.020582584
YMR308C,-0.328504853,7.664435999,0.009450011,0.020587523
YDR264C,0.253426608,7.620111629,0.009486451,0.020659305
YAL034W-A,0.558796497,4.304166378,0.009494486,0.020669195
YNL270C,0.872570657,3.458204203,0.009541631,0.020764189
YBR276C,0.297290993,6.888600704,0.009549826,0.020774382
YHR002W,0.54695548,5.081800545,0.009580295,0.020833005
YBL105C,0.237978809,7.470100059,0.009600945,0.020870239
YBR129C,0.507267198,5.611936763,0.009612358,0.020887375
YJL003W,0.551333047,4.61866176,0.009647682,0.020956438
YOL117W,0.484126729,4.820787489,0.00965779,0.020970694
YJL196C,0.232538339,8.174932671,0.009676603,0.021003837
YDR177W,0.260202087,7.149061289,0.009690112,0.021025448
YPR034W,0.287295779,6.893366909,0.00976343,0.021176766
YDL139C,0.458034098,4.808848206,0.009783565,0.021212661
YPL263C,-0.367302511,6.281803131,0.009797013,0.02123404
YEL057C,1.03060843,2.881073086,0.009804837,0.021243216
YNL127W,0.373438629,5.650118595,0.009816336,0.021260343
YNL180C,0.347987458,6.890027475,0.009842912,0.021310102
YKL052C,0.40935508,6.300687333,0.009850079,0.021317818
YJL149W,0.399738549,5.582673823,0.009871182,0.021355679
YLR163C,0.314642187,6.208273677,0.009910371,0.021432625
YFL010W-A,0.380620928,6.477316755,0.009930397,0.021468089
YPR069C,-0.290612323,7.55960775,0.009939032,0.021478909
YLR218C,0.357907994,6.359144839,0.009944225,0.021482286
YMR160W,0.353225452,5.693784662,0.009966424,0.021522383
YFL009W,0.367479683,6.683916008,0.009979843,0.021543499
YLR305C,0.267529456,7.179814801,0.010030052,0.021638118
YBR098W,0.557349981,4.87229651,0.010030988,0.021638118
YMR246W,-0.320531213,9.253227,0.010068511,0.021711145
YNL004W,0.258398837,7.311779202,0.01010512,0.021782147
YDR338C,0.36746478,5.654013391,0.010251825,0.022090331
YLR074C,-0.403314462,6.556586768,0.010276792,0.022136068
YBL024W,-0.497734346,6.591938732,0.01030772,0.022194608
YMR222C,0.378522403,5.633722769,0.010314942,0.022198746
YDR210W-A,2.040491202,3.683888619,0.010317146,0.022198746
YAL024C,0.534397893,4.98713468,0.010332238,0.022223139
YPR010C-A,0.658447224,4.178436187,0.01038568,0.022329966
YIL002W-A,0.488515921,5.452470452,0.010411707,0.022377796
YIL154C,0.456853726,8.125856855,0.010478439,0.022513044
YOR174W,0.38529659,5.708916726,0.010515248,0.022583927
YBR156C,0.614051264,4.869614824,0.010545057,0.022639733
YMR040W,0.84285464,3.334443339,0.010555627,0.022649791
YDL180W,0.375778877,6.150012707,0.010557398,0.022649791
YGL011C,0.237403072,8.273551166,0.010561585,0.022650562
YGR031C-A,0.770896775,4.233444549,0.010661977,0.022857579
YDR350C,0.51071493,6.106340135,0.010684772,0.02289815
YER094C,0.328494282,8.45768646,0.010752071,0.023034034
YPL055C,0.333697541,6.683109619,0.01076131,0.023037764
YMR043W,-0.23703079,7.421444465,0.010761599,0.023037764
YDR151C,0.454689711,6.244610111,0.010803677,0.023119478
YPR025C,0.459987862,5.469646836,0.010866492,0.023245493
YGR077C,0.391371683,5.906650779,0.010875042,0.02324897
YPL139C,0.418467794,6.072340835,0.010875976,0.02324897
YDR238C,0.237140143,8.274888162,0.010921711,0.023338304
YDL047W,0.345465996,6.861114627,0.010928993,0.023345434
YDR380W,0.407049131,5.75573212,0.01096315,0.02340553
YDR219C,0.530382144,5.73886077,0.010965038,0.02340553
YDL061C,-0.306830247,8.771299437,0.010981629,0.023432492
YBR283C,0.234231594,8.540025809,0.010988154,0.023437962
YKR050W,0.364493452,6.434726611,0.011036337,0.023531022
YJR107W,0.423514509,5.271065,0.011039736,0.023531022
YPR184W,-0.46869119,6.458007174,0.011173521,0.023799427
YAR018C,0.391337223,5.360345572,0.011173704,0.023799427
YJR142W,0.355698237,6.023459744,0.011192428,0.023830729
YIL108W,0.292663307,6.771746079,0.011202667,0.023843949
YDR432W,0.191715865,9.470419261,0.011216822,0.023865492
YGL022W,0.208096121,8.831577682,0.011321885,0.024080371
YGL187C,0.353120292,6.030351783,0.011366707,0.024167017
YDL065C,0.39726763,6.169420124,0.01137374,0.024173282
YLR023C,0.288553729,6.551599455,0.011410308,0.024242295
YDR179C,1.120361954,2.54779594,0.011477396,0.024376077
YML086C,0.249706673,7.354695473,0.0115517,0.024525085
YAL039C,0.335131548,7.838828368,0.011572476,0.024560381
YIL069C,-0.293729259,8.898361644,0.011631978,0.024677811
YMR001C-A,-2.318797507,1.206434819,0.011689564,0.024791092
YML027W,0.511079059,4.493279521,0.01170766,0.024820574
YDL188C,0.279694552,6.778456791,0.011717664,0.024832887
YLR466W,0.363415608,8.027551797,0.011726787,0.024843322
YNL321W,0.270839624,7.026974104,0.011829394,0.025051727
YGR032W,-0.410933331,7.706919083,0.011861088,0.02510986
YMR092C,0.238260792,7.571821465,0.0118834,0.025148097
YOL054W,0.323108006,5.695506562,0.011944271,0.025267878
YOR115C,0.400438552,5.673533428,0.011995469,0.025367116
YOL077W-A,0.412411578,5.123318294,0.01200686,0.025382132
YJL131C,0.455114725,5.200037773,0.012012022,0.025383976
YBL007C,0.275616459,8.462256248,0.012063006,0.025482615
YML080W,-0.721228517,3.890074249,0.012079234,0.025507791
YBR293W,0.42092876,5.486266322,0.012133771,0.025613815
YKL072W,0.453290559,5.241337882,0.012138934,0.025615574
YPL052W,0.615676419,4.84630801,0.012144009,0.025617148
YHL012W,-1.295445382,3.106190534,0.012162307,0.025646604
YPL149W,0.409459138,5.740674413,0.012185853,0.025687102
YLR410W-A,2.4104533,3.425423845,0.01227385,0.02586338
YPR199C,0.376238333,5.505152274,0.012322339,0.025956313
YDR161W,-0.594361597,6.015037552,0.012439447,0.026193669
YJL006C,0.799432396,3.788243302,0.0125069,0.026326336
YGR170W,0.300171875,6.61895599,0.01251957,0.026343634
YLR009W,-0.64158998,6.01223059,0.012541049,0.026379448
YLR071C,0.359046323,6.460194838,0.01254716,0.026382924
YBR265W,0.261096827,6.966039846,0.012589646,0.026462854
YDR217C,0.3715396,6.002372147,0.012594315,0.026463267
YNL110C,-0.670122502,5.652182877,0.012669714,0.026612245
YCR014C,0.558406695,4.638915216,0.012828903,0.026937055
YDR153C,0.335274074,6.705247668,0.012894055,0.027060567
YDR183W,0.516259897,4.506430531,0.012896873,0.027060567
YJR103W,0.379304435,7.66668882,0.013063229,0.027399902
YPL005W,0.545416226,4.47360633,0.013099149,0.027465508
YLL035W,-0.688838889,4.108415611,0.013144373,0.027550568
YPL186C,0.521761573,4.810720604,0.013165961,0.027583004
YMR052W,0.725328901,3.828627822,0.013169171,0.027583004
YLR036C,0.566737774,4.651049478,0.013174774,0.027584974
YOR089C,0.250112701,7.401062774,0.013207294,0.027639109
YPL242C,0.356227358,6.094115556,0.013209971,0.027639109
YDL184C,0.38782673,9.195569034,0.013231133,0.027673601
YML110C,0.231910384,7.297296429,0.013242889,0.027688401
YDR072C,-0.408468718,7.70790565,0.013250377,0.027694271
YNL326C,0.433843001,4.953548644,0.013275457,0.02772426
YJL071W,0.45526267,4.926888025,0.013277933,0.02772426
YBR008C,0.470083794,5.651556036,0.013281952,0.02772426
YOL095C,0.497225939,4.347531047,0.013283468,0.02772426
YGL057C,0.633166728,4.056851839,0.01329286,0.02773408
YBR017C,-0.340607641,6.902468968,0.013305891,0.027751483
YOR244W,0.508082557,5.47676739,0.013345341,0.027823955
YLR284C,0.41473208,5.194282471,0.013352716,0.027829524
YDR115W,0.339952154,5.523772638,0.013377378,0.027871108
YGR117C,0.334854553,5.816701212,0.013421566,0.027953329
YAL064C-A,1.111470893,2.553378108,0.013474543,0.028053791
YLR389C,0.261270391,7.317269014,0.013487117,0.028070092
YGR092W,0.322421816,6.100912905,0.013502223,0.02809165
YBR013C,0.832669056,3.351662213,0.013517188,0.0281129
YLR266C,0.436816343,5.975083173,0.013590798,0.028256063
YHR090C,0.592538976,4.751023031,0.013613164,0.02829262
YDR283C,0.309382295,6.172335549,0.013714245,0.028492691
YKL128C,0.255020195,6.826457749,0.013729741,0.028514874
YMR150C,0.358188787,5.853688879,0.013743155,0.028532719
YGR015C,0.58891948,4.588541182,0.013759632,0.028549035
YHR137W,-0.452610742,4.744635321,0.013760664,0.028549035
YGL098W,0.350373404,5.525541484,0.013771803,0.028558828
YDL084W,0.204088898,8.950394571,0.013775037,0.028558828
YHR181W,0.371814775,6.142236369,0.013904527,0.028817192
YHR211W,0.348357457,5.660255387,0.013988387,0.028980842
YFR011C,0.378971906,5.521159579,0.014035408,0.029068082
YMR028W,0.439591464,5.522112699,0.014096588,0.029184573
YPR068C,0.479446911,4.633141032,0.014164765,0.029315465
YLR201C,0.413749376,5.736311646,0.014199118,0.029369388
YMR122W-A,-0.315815367,9.80872728,0.014200747,0.029369388
YEL027W,0.195890824,9.433154005,0.014329051,0.029624387
YCR073W-A,0.455438782,7.073944651,0.014346849,0.029650824
YLR144C,0.385247632,5.792563745,0.014393303,0.029736443
YDR196C,0.294980661,6.384327935,0.014423258,0.02978793
YDR425W,0.420655429,5.60196216,0.014441333,0.029814852
YPR137W,-0.582783714,5.206862443,0.014496231,0.029917753
YMR240C,0.445839717,5.007064531,0.014543929,0.030005728
YOR116C,-0.349064413,6.898060362,0.014587332,0.030081771
YDR204W,0.352068434,6.308108895,0.014590955,0.030081771
YJR123W,-0.159857481,11.65151098,0.014699561,0.030295125
YAL019W,-0.388226849,6.075964629,0.014838258,0.030570325
YLR256W-A,-0.555265101,6.231413528,0.015015125,0.030917948
YOL062C,0.240068022,7.529164541,0.01502182,0.030917948
YIR005W,0.858298346,3.169618277,0.015022664,0.030917948
YDR129C,0.219559048,8.933497377,0.015036523,0.030935711
YBL033C,0.336426578,7.263247448,0.01506874,0.030991218
YHR207C,0.406009423,5.641756445,0.015127783,0.031101839
YHL038C,0.477876301,4.713956046,0.015178539,0.03119535
YDR148C,0.275648294,7.272971488,0.015233444,0.031282757
YLR271W,0.444172904,4.801881477,0.0152351,0.031282757
YDR499W,0.430754652,5.204269648,0.015236928,0.031282757
YKR007W,0.298675902,6.572944001,0.015252125,0.031303095
YOR043W,0.328643299,7.348172392,0.015271611,0.031316858
YJR145C,-0.192016643,11.33621391,0.015277579,0.031316858
YHL044W,0.573062551,4.318324008,0.015277816,0.031316858
YGL127C,0.450039197,5.368678005,0.015280001,0.031316858
YDR520C,0.488861427,4.903592801,0.015355447,0.03145747
YNL032W,0.297535864,5.912974448,0.015359242,0.03145747
YFR031C-A,-0.172712168,10.62696417,0.015429156,0.031589729
YHR076W,0.378064506,5.946643676,0.015454446,0.031630564
YER050C,0.351684671,5.834424115,0.015462148,0.031635384
YHR166C,0.452216208,4.915714821,0.015474023,0.031648463
YDR267C,0.310507716,6.419740865,0.015479238,0.031648463
YDR255C,0.347532204,5.550489486,0.015552693,0.031787663
YPR109W,0.417727217,5.661067114,0.015574458,0.031821157
YFL066C,-2.728263796,2.613850907,0.015602911,0.031868286
YDR190C,-0.249544508,7.776448283,0.015627095,0.031906667
YOR206W,-0.769372839,5.975062097,0.015684272,0.032012362
YER155C,0.289346144,7.569621665,0.015826506,0.032287039
YER068W,0.279230745,6.703688941,0.015829762,0.032287039
YDL031W,-0.568916848,6.373221492,0.01585953,0.032336608
YJR102C,0.450747677,4.720268246,0.015928562,0.032466173
YPL119C,0.451176846,4.912191402,0.015980082,0.032559967
YPL042C,0.440002597,5.785128649,0.016004336,0.032598161
YKL156W,-0.276727432,8.265723495,0.016011107,0.032600729
YJL147C,0.543712672,4.35023823,0.016028641,0.032625204
YGR122W,0.384959811,5.506951816,0.016045921,0.032649145
YLL012W,-0.401508462,5.692645073,0.016069091,0.03268505
YDR184C,-1.096103258,4.202430582,0.016095301,0.032727111
YGR055W,-0.474459704,7.437029325,0.016365074,0.03326422
YER139C,0.550335275,4.044889961,0.01638014,0.03328341
YLR443W,0.287981968,6.481891455,0.016396515,0.033305245
YMR239C,-0.899945344,4.100572672,0.016428699,0.033359168
YER121W,0.613972695,3.947555239,0.01644638,0.033383613
YGR172C,0.34973734,5.878097012,0.016503593,0.033488258
YPR193C,1.215901649,2.330450215,0.016527579,0.033525433
YPL023C,0.262070023,7.133502041,0.01659543,0.033651528
YBR237W,0.409487698,5.9693331,0.016643515,0.033737472
YPR178W,0.387689371,5.790399006,0.016679209,0.033798246
YIL070C,-0.417684227,5.412967676,0.016689697,0.033807921
YDL126C,0.270469181,10.33269785,0.016734217,0.033886503
YMR100W,0.368788325,5.87218319,0.01674197,0.033890605
YPR152C,0.455453816,5.138419242,0.016783994,0.033964053
YEL061C,0.42645669,5.51720835,0.017073612,0.034538312
YBR235W,0.257245307,6.542491758,0.017162139,0.034705528
YDL232W,0.441102521,4.694621934,0.017201773,0.034773792
YLL027W,0.294498651,6.967510397,0.017271679,0.034903184
YER056C-A,-0.20415678,8.969569157,0.017313748,0.034976254
YOL058W,0.458458742,6.549770034,0.017354017,0.035045637
YIL163C,1.10754811,2.275157037,0.017412472,0.035151687
YGR066C,0.768525469,3.549962503,0.017432038,0.035179183
YGR002C,0.463672475,5.190386613,0.017478384,0.035260688
YLL040C,0.321219207,7.47303482,0.017491007,0.035274127
YGL065C,0.386868623,5.541963963,0.017574397,0.035430223
YNR056C,-0.58779711,4.558667114,0.017589414,0.03544842
YML028W,0.218864563,11.22471656,0.017619502,0.035496967
YOL141W,-1.224926702,2.146107565,0.017675913,0.035598494
YKL143W,-0.385912375,5.938439916,0.017712722,0.035660489
YGL134W,0.358904746,5.470894394,0.017742567,0.035708425
YNR015W,0.35096725,6.280197637,0.01775838,0.035728097
YDR175C,0.337776144,6.033500133,0.017775031,0.035749441
YHL043W,0.6271798,3.87491575,0.017793963,0.035770788
YGR271C-A,-0.929578295,4.086146498,0.017797735,0.035770788
YPL183W-A,0.604823401,4.468520443,0.017812631,0.035788569
YBR015C,0.226507449,7.728128816,0.017846522,0.035844491
YDL006W,0.316637071,5.570907773,0.01789787,0.035929929
YKL026C,0.530508676,4.508040927,0.017901205,0.035929929
YJL023C,0.504426164,4.827449163,0.017933839,0.035983223
YBR056W,0.276922616,7.158695336,0.01796436,0.036032243
YBR118W,-0.178621452,13.77486843,0.018148022,0.036388292
YDR034C-C,2.516300289,2.436393637,0.018155756,0.036391466
YOR148C,0.426450713,5.066093623,0.018190339,0.036448438
YOR147W,0.520041539,5.60309333,0.018210754,0.036476991
YMR073C,0.459881473,4.990606041,0.018217314,0.036477783
YDR311W,0.343590107,5.89343568,0.018226668,0.036484167
YBL081W,-0.476304216,6.163430866,0.018292356,0.036603271
YBL068W,-0.412567342,5.567765579,0.018306495,0.036619179
YMR315W,0.259974204,7.841964691,0.018340776,0.036675354
YAR042W,0.267664143,7.341466065,0.018362806,0.036707002
YDR207C,0.353599313,6.269460517,0.018385144,0.036739243
YIL156W,0.291867623,6.148596101,0.018412306,0.036781099
YDR186C,-0.316307482,7.335309167,0.01850498,0.036953751
YML059C,0.287724941,6.283108888,0.018511729,0.036954757
YLR375W,0.250264695,7.526501391,0.018600992,0.037120429
YPR028W,0.276167481,8.386650788,0.018633796,0.037173355
YLR319C,0.353515801,5.716823876,0.018648005,0.037184037
YNL046W,0.33311159,5.770410362,0.018651719,0.037184037
YIL105C,0.296594846,6.496704825,0.018658055,0.03718414
YNL027W,0.304865005,6.466555616,0.018717461,0.037281784
YMR065W,0.602195311,4.376750853,0.018719652,0.037281784
YNL297C,0.305371868,6.528128614,0.018786452,0.037402232
YOR056C,-0.503864531,6.097144628,0.018799911,0.03741644
YGR236C,1.362635068,2.073025729,0.018820848,0.037445513
YPR003C,0.328321847,5.945916917,0.018858728,0.037508268
YOR238W,0.567180713,5.175921109,0.018914018,0.037605593
YMR066W,0.44897932,5.194600663,0.01893852,0.03764166
YDL087C,0.356562245,5.205439524,0.019003384,0.037757899
YBR143C,-0.287212819,8.276722482,0.019031191,0.037800456
YGL055W,-0.308408841,10.09353065,0.019041698,0.037808633
YBR262C,0.328867429,5.758155419,0.01905193,0.037816259
YNL258C,0.335756582,6.270338752,0.019140813,0.037979943
YML079W,0.330358964,6.08325031,0.019166458,0.038016942
YGL192W,0.318253011,6.535641904,0.019172309,0.038016942
YBR233W-A,0.559755134,4.142551703,0.019247686,0.038149272
YMR315W-A,1.381770639,1.864482354,0.019251939,0.038149272
YPR052C,0.278715287,7.755827203,0.019271544,0.038175334
YPL246C,0.232467347,7.274841169,0.019290315,0.038192625
YGL142C,0.343644441,5.596774112,0.019293182,0.038192625
YPL010W,0.319786507,6.680510374,0.019307182,0.038207558
YJL096W,0.430478055,5.184005352,0.019370031,0.038319115
YER140W,0.40346982,5.502997709,0.019424014,0.038413064
YBR166C,0.346066554,5.866335457,0.019463831,0.038478948
YAL020C,0.305005021,6.707488677,0.019476741,0.038490736
YKR092C,-0.426215746,6.116647377,0.019482805,0.038490736
YPL027W,1.182288418,2.311268998,0.019495951,0.038503852
YOR061W,0.289366853,7.617434877,0.019618077,0.038730421
YDR028C,0.231461291,8.197076922,0.019623762,0.038730421
YER090W,0.22091457,7.622533647,0.019707526,0.03888277
YLR268W,0.324142801,6.52358775,0.019720062,0.038894536
YLR020C,0.325525291,6.196708902,0.019729033,0.038899262
YGL176C,0.549913908,5.291750671,0.019761546,0.038950389
YLR150W,-0.172733797,10.92383221,0.019771785,0.038957594
YCR060W,0.348357028,5.44370551,0.019832791,0.039064788
YER016W,0.262432638,6.807064401,0.019885019,0.039154628
YBR114W,0.288662987,6.25710307,0.019906998,0.039184865
YCR031C,-0.175941076,10.66425472,0.019921977,0.039201309
YPL203W,0.262927443,6.970046226,0.019944548,0.039232676
YLR083C,-0.315667447,7.220558054,0.019965853,0.039261534
YLR408C,0.859204269,3.544052161,0.019979617,0.039275547
YDR098C-B,-0.424781915,7.439537934,0.020109779,0.039518287
YDR502C,-0.353365202,7.831111102,0.02016428,0.039612233
YOR009W,-0.351079656,5.804852946,0.020308985,0.039883261
YBL047C,0.247749969,8.846846583,0.020332317,0.039915832
YOR198C,0.235519216,8.139044276,0.020434567,0.040103262
YDR516C,-0.291641391,9.894871129,0.020461915,0.040143618
YLR028C,0.189188844,8.788258611,0.020481768,0.040163846
YDR393W,0.340265072,5.363311083,0.020485801,0.040163846
YNR032C-A,0.570856145,4.640634243,0.020539399,0.04025559
YHL008C,0.296772398,6.104968719,0.020588993,0.040339427
YOR168W,-0.341043747,7.845117369,0.020638952,0.040423926
YOL116W,0.31052875,5.78649835,0.020657775,0.040447403
YMR237W,0.243759319,7.134070359,0.020870618,0.040850627
YKR035W-A,0.228866821,7.468976639,0.020987671,0.041066154
YPR129W,0.22949102,7.229923283,0.021006189,0.041088801
YIL073C,0.477372579,4.793259767,0.02105832,0.041177157
YIL075C,0.194268594,9.298347282,0.021094832,0.041234927
YMR002W,0.229216379,7.786755438,0.02120926,0.041444911
YMR184W,0.414451279,5.1329619,0.021247479,0.041505887
YPR176C,0.298789952,5.938897726,0.021287075,0.041569513
YER029C,0.428733194,6.036710619,0.021335445,0.041650224
YFR022W,0.351479143,5.466448678,0.021409507,0.04178102
YER180C-A,-0.830755775,2.884932328,0.021505539,0.041954592
YJL165C,-0.282403672,7.21072288,0.02157217,0.042070708
YGR054W,-0.259004969,7.161987706,0.021601934,0.042114874
YOR057W,0.381255984,5.461226611,0.021628933,0.042153623
YMR310C,-0.640583869,4.923739884,0.021680345,0.042239907
YMR285C,0.375542759,5.88326537,0.021691258,0.042247258
YJL049W,0.472849388,5.069367833,0.02170881,0.042267531
YER036C,-0.250584313,8.86379238,0.021767771,0.042368388
YGL197W,0.236161661,7.088032661,0.021914554,0.042640058
YBR252W,-0.35299684,6.147778604,0.021941843,0.042679121
YLR102C,0.466125528,4.974795467,0.022065939,0.042906396
YGL183C,1.591424639,1.703766391,0.022171044,0.043096605
YPR158C-C,0.941700592,5.545895708,0.022192003,0.04312318
YBR196C,-0.247636966,11.00424826,0.022244765,0.043205818
YNL173C,0.262841001,7.93069024,0.022259267,0.043205818
YHR158C,0.335040386,6.83710075,0.022259662,0.043205818
YDR375C,0.314607068,5.971186584,0.022263738,0.043205818
YDR293C,0.206530658,8.932491381,0.022314943,0.04329099
YMR203W,0.207743068,7.955563421,0.022400783,0.043443275
YNL275W,0.393295403,5.320478753,0.022498165,0.043617838
YNL222W,0.48247358,4.358458668,0.022550237,0.043704473
YDR265W,0.336236884,5.378301116,0.022563672,0.043716191
YOL159C,0.398407908,4.87497045,0.022585832,0.043744802
YGR175C,-0.298850082,8.317325503,0.02261789,0.043788918
YIL096C,-0.800589876,3.85589475,0.022629009,0.043788918
YDR323C,0.685429082,4.219967132,0.022630811,0.043788918
YGL061C,0.49616648,4.331017897,0.022696639,0.043901932
YLR442C,0.370755684,6.113360553,0.022866212,0.044215483
YLR094C,0.310955218,5.920418704,0.02290688,0.04427965
YGL143C,0.362262154,5.289304352,0.022977305,0.044401279
YLR251W,0.404031739,5.150626704,0.023033965,0.044496236
YKL191W,-0.266110765,6.689215226,0.023149693,0.0447052
YBR123C,0.361529715,6.007271325,0.023172444,0.044734536
YMR168C,0.414978234,4.892756376,0.023254882,0.04487904
YGL224C,-0.296517458,5.813039217,0.023272631,0.04489865
YLR128W,0.465981367,4.681669393,0.023287212,0.044912135
YJL164C,0.322579512,6.59998983,0.023362552,0.045042756
YOR105W,0.644245509,4.151895617,0.023407641,0.045114989
YIL139C,0.568133418,4.423509189,0.023498902,0.045276133
YKR085C,-0.29352559,5.72084463,0.023533443,0.045327923
YDL136W,-0.274062236,9.219505344,0.023639731,0.045517829
YIL063C,0.310358263,6.40729798,0.023706786,0.045632093
YLR254C,0.422942234,5.442012005,0.02372552,0.045653302
YER176W,0.24145419,6.711606208,0.023734268,0.045655287
YDR294C,0.213370343,7.643744448,0.023784218,0.045736502
YNL078W,0.345095903,6.620012495,0.023797399,0.045746982
YCR106W,0.512234125,4.248908049,0.023805676,0.04574803
YER031C,0.21312066,7.777367364,0.024021091,0.046147011
YHR098C,0.203269367,7.672009362,0.024076276,0.046238015
YOR196C,0.262843728,6.42781303,0.024205311,0.046470742
YBR012W-B,-1.119844393,4.677573631,0.024313953,0.046664177
YNL214W,0.613303554,3.970452389,0.024327775,0.046675566
YJL208C,-0.647395084,4.250747465,0.02434865,0.046700474
YMR171C,0.339771943,6.824997533,0.024357371,0.046702062
YOR063W,-0.172983758,12.16399726,0.024452932,0.0468701
YIL040W,0.350549251,5.825963649,0.024482926,0.046901093
YJR082C,0.459364571,4.7789613,0.024484954,0.046901093
YJL058C,0.655062696,4.483752569,0.024498789,0.046912405
YGL013C,0.304573494,5.827253937,0.02457991,0.047052517
YPL214C,0.297450094,6.228014028,0.024613162,0.047100931
YEL056W,0.26730212,6.596389391,0.024648198,0.047152728
YPL118W,0.251327901,6.592112067,0.02487198,0.047563589
YDR040C,-0.448196909,7.443949191,0.024883938,0.047563589
YER071C,0.63150819,4.069354369,0.024887083,0.047563589
YLR088W,0.358516951,5.974796387,0.024897029,0.047567233
YNL010W,0.220517769,7.705908915,0.025019421,0.04778564
YGR260W,0.202591407,8.528155624,0.025074753,0.047875867
YMR174C,0.643922104,3.840675511,0.025100254,0.047902966
YGL030W,-0.166927734,11.04290326,0.025105137,0.047902966
YDL131W,0.251661978,7.808917672,0.025136215,0.047946803
YKL125W,-0.530485877,4.837453822,0.025195756,0.048044889
YBR169C,0.314456909,6.51098333,0.025274097,0.048178747
YKL075C,0.383250453,5.749914755,0.025348306,0.048304646
YHR164C,0.31547084,5.772092471,0.025363117,0.048317309
YMR087W,0.378956502,4.978550762,0.025384523,0.048342524
YOR249C,0.382030383,5.329484412,0.025394549,0.048346058
YOL164W-A,0.814014246,2.884568711,0.025406389,0.04835304
YOR177C,1.040676155,3.073981633,0.025421172,0.048365619
YJL116C,0.423839827,4.819859868,0.025433662,0.048373827
YJR118C,0.402924769,5.779152615,0.025536799,0.048549419
YBR072W,0.637521522,4.288886358,0.025542393,0.048549419
YBR188C,0.508986468,4.582869511,0.025583254,0.048611469
YBR229C,0.265935176,6.67404121,0.02561844,0.048662701
YGL079W,0.434308798,4.628250064,0.025650412,0.04870228
YDL101C,0.424748978,4.926918784,0.025655739,0.04870228
YGR090W,-0.501830509,6.687356356,0.02571116,0.048791833
YPR062W,0.203223424,8.356690388,0.025784352,0.04891504
YML111W,0.276812385,6.681147862,0.025824201,0.048974935
YGL108C,0.512007864,4.615437627,0.025961796,0.049220105
YHL030W,0.209255501,7.097042319,0.026007279,0.049284467
YPL097W,0.439681265,4.989751289,0.026012403,0.049284467
YDL243C,0.358194326,5.51686968,0.026067484,0.049373017
YPL195W,0.296731317,6.556381824,0.026108448,0.049434781
YER040W,0.376887189,5.885046829,0.026260891,0.049707515
YOL091W,1.009459715,2.590591925,0.02632863,0.049819796
YDR390C,0.243162649,6.626399898,0.026338074,0.049821734
YDR243C,0.4440975,4.714242253,0.026366473,0.049847539
YPL064C,0.298327578,6.09273035,0.026368565,0.049847539
YEL024W,0.362234149,5.703534605,0.026404074,0.049898724
YNL087W,0.266144433,7.604296731,0.026420966,0.04990712
YNR039C,0.311035342,5.555042629,0.026425386,0.04990712
YPL148C,0.575469965,3.849184172,0.02644061,0.049919939
YFR019W,0.281771013,6.15357893,0.026475485,0.049969839
YDR382W,-0.145327695,10.47267187,0.026493277,0.049987475
YML050W,0.445740632,4.368893977,0.026712232,0.050384531
YOR221C,-0.299166389,5.891261443,0.02677818,0.050492827
YOR216C,0.263710251,6.184736774,0.026871656,0.050652943
YER003C,0.252388448,7.296935971,0.026892907,0.050674865
YPL094C,0.238507946,7.469681126,0.026900414,0.050674865
YDR194C,-0.498445666,6.669046913,0.0271046,0.051043258
YKL213C,0.209893735,7.231808427,0.027336219,0.051463062
YDL005C,0.313878092,6.718940524,0.027583643,0.051906295
YJR112W,0.409222957,4.791998176,0.0275892,0.051906295
YOR301W,0.346593406,5.714200554,0.027851341,0.05238283
YGR221C,0.33111947,5.502336111,0.027974155,0.0525971
YPR020W,0.570903458,4.402147207,0.028033003,0.052691003
YAL034C,0.296200378,6.084451261,0.028053915,0.052713565
YCR034W,-0.282308071,7.279229967,0.028277239,0.053116324
YDR337W,0.356404538,5.651861862,0.028324284,0.05318781
YNR040W,-0.447150551,4.409959978,0.028351284,0.053221621
YBR107C,0.375654978,5.018991588,0.028398152,0.053292695
YER188C-A,1.40748373,1.758258109,0.028436621,0.053347966
YGL166W,0.350130867,6.179153312,0.028451193,0.053358386
YLR262C-A,0.301827005,7.203987121,0.028507509,0.053447063
YOL023W,0.454130721,5.227998707,0.028540149,0.053491309
YDL209C,0.49541787,4.729668987,0.028638696,0.053659013
YDL231C,0.309498415,6.557650537,0.028671403,0.053703289
YBR255W,0.306191161,5.960267813,0.028701227,0.053742139
YDR353W,0.167579122,9.380714452,0.028748064,0.053812812
YDR098C-A,1.953728874,4.642555861,0.028764611,0.053826756
YPL174C,0.431042336,5.275778852,0.028902448,0.054067589
YHL010C,0.336913533,5.576726816,0.028973374,0.054183139
YPR110C,-0.409341671,7.07744642,0.029000447,0.054216634
YPL017C,-0.335677152,5.286267687,0.029055249,0.05430193
YOR358W,0.386553998,6.02644545,0.029066717,0.054302449
YKL086W,0.610348248,4.174512953,0.029073882,0.054302449
YBR104W,-0.401257552,5.269166344,0.029085128,0.054306313
YLR173W,0.348539454,5.962868674,0.029139608,0.054387914
YNL018C,-1.042057493,2.168949504,0.029147216,0.054387914
YGL233W,0.311007995,6.306575908,0.029216101,0.054491592
YHL046C,-1.704361924,1.325460954,0.029221197,0.054491592
YBR106W,0.168439362,9.486608683,0.029241773,0.054512783
