,logFC,logCPM,PValue,FDR
YJR070C,-1.124669781,7.560571158,2.82E-16,8.50E-15
YJR148W,-1.039426621,7.643123815,2.95E-16,8.87E-15
YDR345C,-0.864910206,11.7519155,3.24E-16,9.69E-15
YKL065C,0.806907595,7.95000655,3.26E-16,9.69E-15
YPL061W,-1.082486812,10.5715243,3.75E-16,1.11E-14
YBR212W,0.756678857,8.261440174,5.00E-16,1.47E-14
YOL048C,1.084171604,6.311965166,5.41E-16,1.59E-14
YNL332W,3.951083425,3.214980115,5.87E-16,1.71E-14
YFL008W,1.091658696,6.134815474,5.97E-16,1.73E-14
YKL117W,0.606756564,9.513249563,6.58E-16,1.90E-14
YKL056C,-0.530878761,10.93189555,6.88E-16,1.98E-14
YNL079C,0.606948013,8.981667004,7.30E-16,2.09E-14
YLR058C,-2.082455959,8.642702511,8.35E-16,2.37E-14
YFL068W,1.111802435,7.483991433,8.40E-16,2.38E-14
YMR244W,2.589147946,3.668340015,9.33E-16,2.63E-14
YBR296C,-3.013682047,6.208495948,1.25E-15,3.50E-14
YOL130W,-0.845638244,7.175707606,1.28E-15,3.57E-14
YMR191W,1.192254366,6.232912141,1.32E-15,3.65E-14
YEL066W,1.561821227,5.584653545,1.40E-15,3.86E-14
YNL134C,-0.970964826,7.24722283,1.72E-15,4.72E-14
YMR120C,-2.496656059,7.912505457,1.98E-15,5.42E-14
YLR149C,1.159652243,6.599909329,2.87E-15,7.82E-14
YGR086C,0.673822157,10.06830515,3.11E-15,8.45E-14
YOR327C,0.709276643,7.594898766,3.13E-15,8.45E-14
YGR161C,0.819045343,8.493532188,3.36E-15,9.04E-14
YOR100C,2.319310706,3.982939173,3.59E-15,9.60E-14
YDR335W,0.708789838,7.819025098,3.78E-15,1.01E-13
YPL232W,0.7106581,8.127280845,4.06E-15,1.08E-13
YLR093C,0.789083883,7.234604147,4.47E-15,1.18E-13
YPR158C-D,-1.851657623,7.328110739,5.07E-15,1.33E-13
YLR256W,-0.639108785,9.052595662,5.09E-15,1.33E-13
YKL104C,0.750016298,8.397956102,5.62E-15,1.46E-13
YGL168W,1.020928842,6.22091891,6.36E-15,1.65E-13
YEL065W,-1.189706493,6.550270808,6.53E-15,1.69E-13
YJL200C,-1.104948384,6.060084352,7.53E-15,1.94E-13
YHL048W,1.15564015,5.970242556,7.73E-15,1.98E-13
YLL052C,-2.356115347,3.429385595,8.24E-15,2.10E-13
YNR067C,-1.088884386,6.632528547,9.62E-15,2.44E-13
YMR200W,0.721564327,7.460992354,1.41E-14,3.56E-13
YPR006C,1.198544022,5.5792626,1.64E-14,4.13E-13
YGR009C,0.759200726,7.330707443,2.07E-14,5.20E-13
YOL070C,0.764334886,6.829680457,2.27E-14,5.66E-13
YBL001C,0.848100171,6.839077569,2.36E-14,5.87E-13
YLL043W,0.644296281,8.177032715,2.45E-14,6.06E-13
YBL015W,0.937945712,7.088639176,2.50E-14,6.16E-13
YHR161C,0.798531835,7.687735413,2.61E-14,6.41E-13
YDR517W,0.787171934,8.24651559,2.65E-14,6.47E-13
YAL053W,0.766266653,8.901158681,2.83E-14,6.90E-13
YGR244C,0.902539956,8.298213904,3.11E-14,7.54E-13
YKL161C,1.268602412,5.336046585,3.68E-14,8.88E-13
YPR036W-A,0.947428398,8.90908962,3.71E-14,8.91E-13
YGR050C,1.730627619,4.382868851,3.90E-14,9.35E-13
YBR183W,1.030022919,6.262177167,4.31E-14,1.03E-12
YNL277W,1.189578259,6.03263025,4.33E-14,1.03E-12
YJR052W,0.929472539,5.961427863,4.38E-14,1.04E-12
YKL141W,0.961199087,7.128984898,4.44E-14,1.05E-12
YKL045W,1.036326132,5.946079382,4.70E-14,1.10E-12
YKL188C,1.057641465,5.404440931,4.74E-14,1.11E-12
YDR018C,2.105046092,4.204413342,5.06E-14,1.18E-12
YLR326W,1.45350819,4.935172408,5.55E-14,1.29E-12
YKR080W,-2.371595639,7.290143163,5.74E-14,1.33E-12
YDL072C,0.641126678,8.188515642,6.25E-14,1.44E-12
YIL042C,0.95284502,6.677069686,6.36E-14,1.46E-12
YPR115W,0.70944839,7.462649157,6.79E-14,1.55E-12
YKL067W,0.676870441,7.934466187,7.24E-14,1.65E-12
YLR213C,1.540703489,5.076712567,8.50E-14,1.93E-12
YBR054W,-1.567107183,5.239435331,8.90E-14,2.01E-12
YBR069C,-0.92409047,7.445487036,9.31E-14,2.10E-12
YMR042W,1.181005468,5.467620094,9.65E-14,2.16E-12
YJL103C,1.373870549,4.933290001,1.03E-13,2.30E-12
YER079W,1.051519723,6.33115682,1.10E-13,2.44E-12
YGR155W,-0.779677068,9.008275789,1.25E-13,2.76E-12
YLR345W,0.804304407,7.011718667,1.26E-13,2.77E-12
YNL283C,0.759404053,7.533561709,1.38E-13,3.03E-12
YDL214C,1.926467244,4.122123633,1.41E-13,3.09E-12
YGR246C,0.874231749,6.407855099,1.43E-13,3.12E-12
YGR177C,-1.530466868,5.011017807,1.51E-13,3.27E-12
YER088C,0.699221279,8.997630924,1.78E-13,3.85E-12
YJR137C,0.907284974,6.424742243,1.84E-13,3.96E-12
YJL082W,-0.785908588,7.450097174,1.85E-13,3.98E-12
YLR092W,0.949423929,6.158542817,1.92E-13,4.12E-12
YMR256C,1.078105099,5.378499467,2.18E-13,4.66E-12
YPL113C,1.178761648,5.415526808,2.80E-13,5.95E-12
YBR077C,0.980898159,5.964465848,3.20E-13,6.78E-12
YKL163W,-1.985211841,4.864598061,3.32E-13,7.01E-12
YGR109W-A,1.113157541,5.523723191,3.46E-13,7.28E-12
YCL049C,0.825657409,6.94435985,3.60E-13,7.56E-12
YBR162C,0.506449149,9.983407942,3.78E-13,7.90E-12
YNL305C,0.934959644,7.169940619,3.82E-13,7.95E-12
YDR074W,-0.535353982,9.34064661,3.98E-13,8.26E-12
YNL024C,-1.420297818,4.897486174,4.59E-13,9.50E-12
YGR211W,-1.227806828,6.217739479,4.97E-13,1.02E-11
YOL163W,2.440693363,3.490859249,4.98E-13,1.02E-11
YDL085W,2.111234262,3.877250965,5.11E-13,1.05E-11
YBR089C-A,0.757260905,7.231927015,5.68E-13,1.16E-11
YBL084C,1.092505901,6.009639478,5.86E-13,1.19E-11
YPR010C,-0.927509132,7.842440417,6.37E-13,1.29E-11
YGR282C,0.485131908,10.2572054,6.43E-13,1.29E-11
YHL025W,0.721103308,7.741681841,6.43E-13,1.29E-11
YLR137W,1.043875395,5.810566413,6.80E-13,1.36E-11
YJL170C,1.593445045,4.435590331,7.41E-13,1.48E-11
YIR037W,0.769089989,7.338516855,7.52E-13,1.50E-11
YJL225C,0.83340249,8.337575443,7.92E-13,1.57E-11
YHR175W,0.719062533,7.245706008,8.34E-13,1.65E-11
YCL025C,-1.689913475,7.509546015,8.59E-13,1.70E-11
YNL141W,-1.227415081,6.266899149,9.05E-13,1.78E-11
YOR289W,1.032094806,5.656916981,9.09E-13,1.78E-11
YIR038C,0.825721481,6.857629117,9.22E-13,1.80E-11
YDR134C,-0.862401793,9.452532402,9.40E-13,1.83E-11
YPR159W,0.581365546,8.439271705,9.64E-13,1.87E-11
YNL156C,0.805100825,6.967393377,1.08E-12,2.10E-11
YJL210W,0.825623512,7.062804735,1.18E-12,2.28E-11
YBL085W,0.872270336,7.70044894,1.29E-12,2.48E-11
YPL153C,1.258657871,5.038089661,1.33E-12,2.55E-11
YKR076W,1.520262533,6.407108173,1.34E-12,2.55E-11
YGL156W,1.184498004,6.040516721,1.35E-12,2.56E-11
YGR178C,0.604681142,8.29928552,1.47E-12,2.78E-11
YNL030W,0.566317991,9.800125091,1.49E-12,2.81E-11
YNR034W-A,-1.471659258,5.246674185,1.74E-12,3.27E-11
YCR079W,0.905669421,6.66532722,1.76E-12,3.30E-11
YDR034C-A,-0.64647393,8.040084007,1.90E-12,3.56E-11
YEL077C,1.087476407,6.745906415,2.05E-12,3.83E-11
YGL185C,1.143215479,5.277874298,2.06E-12,3.84E-11
YEL012W,0.906648026,6.657630127,2.11E-12,3.91E-11
YGL036W,0.759117813,7.281685403,2.13E-12,3.93E-11
YCR004C,0.654448079,8.280335449,2.21E-12,4.08E-11
YDR089W,-1.449751773,5.56520403,2.57E-12,4.72E-11
YBR177C,0.741751752,7.363359042,3.11E-12,5.70E-11
YAL054C,1.245117702,5.678743085,3.21E-12,5.85E-11
YJR085C,0.64612965,7.661636143,3.27E-12,5.96E-11
YPL147W,1.176714216,5.365990404,3.59E-12,6.52E-11
YEL034W,-0.488278544,10.06200383,4.03E-12,7.28E-11
YOL086W-A,1.064300812,5.364962401,4.77E-12,8.61E-11
YDR259C,1.547967288,4.78470792,4.85E-12,8.72E-11
YNL233W,0.858932203,5.952372653,4.87E-12,8.74E-11
YHR176W,1.118344628,5.029609455,5.50E-12,9.84E-11
YDR518W,0.777298456,6.589210031,5.71E-12,1.02E-10
YBR052C,0.688506123,7.988867166,5.72E-12,1.02E-10
YIL056W,-1.220752428,6.829812109,5.76E-12,1.02E-10
YDR032C,0.817176926,8.460085319,5.90E-12,1.04E-10
YGL158W,1.048119649,5.636947101,6.09E-12,1.07E-10
YIL119C,-2.074830768,4.972690597,6.22E-12,1.09E-10
YDR054C,0.645224394,7.780986458,6.62E-12,1.16E-10
YNL100W,0.809084917,6.564130252,7.37E-12,1.29E-10
YHR028C,0.622802851,7.663265163,7.40E-12,1.29E-10
YCR026C,0.861067094,6.642662847,7.60E-12,1.32E-10
YDL169C,1.292207182,5.112503665,8.09E-12,1.40E-10
YOL084W,1.79222011,4.151060606,8.45E-12,1.46E-10
YLR414C,0.941633838,8.321315791,9.56E-12,1.64E-10
YER055C,-0.749843698,8.418859946,9.70E-12,1.66E-10
YHR199C,0.721142282,7.35959478,1.05E-11,1.79E-10
YPR140W,0.878746081,5.879245728,1.11E-11,1.89E-10
YLR281C,1.504180776,4.291665912,1.24E-11,2.11E-10
YDR158W,0.622809105,9.164649399,1.25E-11,2.11E-10
YKL037W,1.362310162,4.826498949,1.46E-11,2.47E-10
YOL083W,1.212817341,5.142998121,1.59E-11,2.67E-10
YBR269C,0.822363599,6.117971698,1.68E-11,2.82E-10
YIL024C,1.322755518,4.563765163,1.85E-11,3.09E-10
YLR027C,0.614172197,8.947221459,1.86E-11,3.11E-10
YLR417W,0.945108641,6.469601891,1.89E-11,3.15E-10
YGR266W,0.729637048,6.709348336,1.98E-11,3.29E-10
YDR528W,1.510646778,4.31553922,2.11E-11,3.50E-10
YNR053C,-1.815211858,5.240817307,2.35E-11,3.88E-10
YCL048W,2.559933036,3.283667708,2.43E-11,3.99E-10
YOR142W,0.680846167,7.969234986,2.43E-11,3.99E-10
YDR019C,-2.247981577,6.030957875,2.52E-11,4.14E-10
YOR285W,0.630283175,7.812616757,2.74E-11,4.49E-10
YAR015W,-1.104215528,7.774731663,2.93E-11,4.78E-10
YOR374W,0.987200604,10.22885702,2.94E-11,4.78E-10
YDL010W,1.106561305,5.957820853,3.05E-11,4.95E-10
YAR068W,1.334428465,5.479411126,3.07E-11,4.97E-10
YMR302C,0.685600523,6.954905011,3.28E-11,5.28E-10
YOR126C,1.083378322,5.13413373,3.28E-11,5.28E-10
YBL113C,0.918413109,7.328698345,3.41E-11,5.46E-10
YER063W,0.822436379,6.995281544,3.46E-11,5.53E-10
YIL055C,1.026255345,5.541973832,3.48E-11,5.55E-10
YJL055W,0.63990757,7.810642719,3.58E-11,5.69E-10
YOL156W,1.105946454,5.139671706,3.70E-11,5.87E-10
YOR127W,0.824142205,7.030338498,3.87E-11,6.13E-10
YHR030C,-0.57705698,8.127386946,4.06E-11,6.41E-10
YOR356W,0.882004758,7.128763923,4.20E-11,6.61E-10
YCL063W,0.947644533,5.942418056,4.24E-11,6.66E-10
YCL027W,1.556481958,4.208453814,4.28E-11,6.69E-10
YPR098C,0.938510684,5.704781866,4.28E-11,6.69E-10
YKL096W,-0.691612537,8.124816363,4.48E-11,6.97E-10
YJR139C,0.523875668,8.792717386,4.73E-11,7.35E-10
YBL003C,0.835436555,9.068182534,5.13E-11,7.94E-10
YBL041W,0.529518234,8.564427577,5.23E-11,8.08E-10
YAL025C,-1.436026374,6.035143718,6.39E-11,9.84E-10
YLR154W-C,-0.702307111,10.32801405,6.59E-11,1.01E-09
YCL026C-B,1.308238937,4.805749735,6.62E-11,1.02E-09
YLR359W,-0.868962834,8.692700646,6.71E-11,1.03E-09
YPL015C,0.850333874,7.04830072,6.74E-11,1.03E-09
YLR049C,1.076005066,5.304732311,6.97E-11,1.06E-09
YOR108W,-1.009418573,6.89238005,7.31E-11,1.11E-09
YKR097W,1.396509059,4.445675105,7.78E-11,1.18E-09
YBR203W,0.826256693,6.691571049,7.90E-11,1.19E-09
YHR008C,0.621768071,8.399321626,8.17E-11,1.23E-09
YDR119W-A,-2.32034828,3.284940156,8.50E-11,1.28E-09
YPR120C,1.283835656,4.969158402,8.63E-11,1.29E-09
YGR157W,-0.651081534,7.059598819,9.12E-11,1.36E-09
YDL014W,-0.624658545,9.29567389,9.12E-11,1.36E-09
YIL026C,1.023162624,5.648739562,9.40E-11,1.40E-09
YNL279W,1.488846092,4.5756647,9.58E-11,1.42E-09
YPR079W,0.861389318,6.03155137,1.25E-10,1.84E-09
YOL082W,0.847552705,7.10133366,1.27E-10,1.87E-09
YBR162W-A,0.788754769,6.465044179,1.32E-10,1.94E-09
YLR327C,-1.523362562,7.937357054,1.35E-10,1.98E-09
YDL004W,0.686189641,7.026307234,1.38E-10,2.02E-09
YNL336W,0.864902632,6.02061254,1.39E-10,2.02E-09
YHR128W,-0.995646074,6.286124904,1.44E-10,2.09E-09
YKL142W,0.606438069,7.389148748,1.49E-10,2.16E-09
YPL093W,-1.464689256,6.689850613,1.58E-10,2.30E-09
YIL077C,0.884214193,6.372485542,1.82E-10,2.63E-09
YGR289C,0.909034899,6.525569809,1.90E-10,2.74E-09
YMR148W,1.067565289,5.307543876,2.27E-10,3.27E-09
YGL163C,0.772570133,6.200028397,2.30E-10,3.30E-09
R0040C,0.804031768,9.994193544,2.49E-10,3.57E-09
YDR359C,0.829786534,6.451717202,2.61E-10,3.73E-09
YDL197C,0.826503939,6.227366212,2.64E-10,3.77E-09
YJL115W,0.731606416,6.750093718,2.72E-10,3.86E-09
YPR023C,0.705055967,7.339034764,2.74E-10,3.89E-09
YNL278W,0.800518764,5.991634029,2.78E-10,3.93E-09
YPL218W,0.533314875,8.316786327,2.79E-10,3.93E-09
YDL227C,-1.842086724,3.655838219,2.79E-10,3.94E-09
YJL173C,0.830729487,5.959182891,2.89E-10,4.06E-09
YIR027C,1.971200591,3.585629239,2.90E-10,4.06E-09
YPR026W,0.922996293,6.407745324,2.98E-10,4.16E-09
YGL073W,0.608675612,7.415867332,3.06E-10,4.28E-09
YER047C,0.837480197,6.40107485,3.08E-10,4.29E-09
YOR019W,0.902424742,5.832220763,3.23E-10,4.48E-09
YOR086C,0.548358595,8.276596708,3.32E-10,4.60E-09
YDR210C-C,9.025667513,4.862560102,3.54E-10,4.90E-09
YFL030W,1.138859695,5.290538424,3.59E-10,4.96E-09
YMR264W,0.665552486,6.952085583,3.66E-10,5.03E-09
